group,symbol,interval,strategy,cooldown_candles,max_sl_pct,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
catalog,SOLUSDT,240,MACD_12_26_hist,5,0.03,-402.854196,-300.409274,102.444922,29.69,320,118,80.5963,97.145804,False,0.4
catalog,SOLUSDT,240,MACD_12_26_hist,10,0.03,-401.006877,-308.1499,92.856977,27.59,290,117,80.2014,98.993123,False,0.36
catalog,SOLUSDT,240,MACD_12_26_hist,20,0.03,-277.742985,-210.842157,66.900828,27.75,209,79,55.5486,222.257015,True,0.21
catalog,SOLUSDT,240,MACD_12_26_hist,50,0.03,-149.346788,-117.025062,32.321727,20.79,101,40,29.8694,350.653212,True,0.21
catalog,SOLUSDT,240,MACD_RSI14_50,0,0.03,-400.431346,-313.371941,87.059405,25.0,272,127,80.1266,99.568654,False,0.19
catalog,SOLUSDT,240,MACD_RSI14_50,5,0.03,-403.066038,-315.685745,87.380294,27.11,273,128,80.6132,96.933962,False,0.19
catalog,SOLUSDT,240,MACD_RSI14_50,10,0.03,-400.975831,-311.982303,88.993528,24.1,278,122,80.1952,99.024169,False,0.14
catalog,SOLUSDT,240,MACD_RSI14_50,20,0.03,-258.877899,-201.005882,57.872017,24.86,181,79,51.7756,241.122101,True,0.23
catalog,SOLUSDT,240,MACD_RSI14_50,50,0.03,-132.980382,-104.824582,28.1558,21.59,88,40,26.5961,367.019618,True,0.12
catalog,SOLUSDT,240,BB_20_25_breakout,0,0.03,-99.540989,-76.158015,23.382974,28.77,73,34,20.0057,400.459011,True,0.1
catalog,SOLUSDT,240,BB_20_25_breakout,5,0.03,-83.365671,-62.873624,20.492047,29.69,64,29,16.7745,416.634329,True,0.27
catalog,SOLUSDT,240,BB_20_25_breakout,10,0.03,-84.369906,-64.84081,19.529096,27.87,61,29,16.9751,415.630094,True,0.26
catalog,SOLUSDT,240,BB_20_25_breakout,20,0.03,-78.9241,-60.671188,18.252912,28.07,57,27,15.8873,421.0759,True,0.26
catalog,SOLUSDT,240,BB_20_25_breakout,50,0.03,-55.252932,-42.441222,12.81171,27.5,40,19,11.1588,444.747068,True,0.17
catalog,SOLUSDT,240,BB_20_2_RSI14,0,0.03,-261.846536,-203.255313,58.591223,22.4,183,83,52.3693,238.153464,True,0.14
